"Date";"Time";"CO.GT.";"PT08.S1.CO.";"NMHC.GT.";"C6H6.GT.";"PT08.S2.NMHC.";"NOx.GT.";"PT08.S3.NOx.";"NO2.GT.";"PT08.S4.NO2.";"PT08.S5.O3.";"T";"RH";"AH_bin"
"1";1;19;2.6;1360;150;11.9;1046;166;1056;113;1692;1268;13.6;48.9;1
"2";1;20;2;1292;112;9.4;955;103;1174;92;1559;972;13.3;47.7;0
"3";1;21;2.2;1402;88;9;939;131;1140;114;1555;1074;11.9;54;1
"4";1;22;2.2;1376;80;9.2;948;172;1092;122;1584;1203;11;60;1
"5";1;23;1.6;1272;51;6.5;836;131;1205;116;1490;1110;11.2;59.6;1
"6";1;24;1.2;1197;38;4.7;750;89;1337;96;1393;949;11.2;59.2;1
"7";2;1;1.2;1185;31;3.6;690;62;1462;77;1333;733;11.3;56.8;1
"8";2;2;1;1136;31;3.3;672;62;1453;76;1333;730;10.7;60;1
"9";2;3;0.9;1094;24;2.3;609;45;1579;60;1276;620;10.7;59.7;1
"10";2;4;0.6;1010;19;1.7;561;44.0838096455864;1705;58.2942337228777;1235;501;10.3;60.2;1
"11";2;5;0.626314191516378;1011;14;1.3;527;21;1818;34;1197;445;10.1;60.5;0
"12";2;6;0.7;1066;8;1.1;512;16;1918;28;1182;422;11;56.2;0
"13";2;7;0.7;1052;16;1.6;553;34;1738;48;1221;472;10.5;58.1;0
"14";2;8;1.1;1144;29;3.2;667;98;1490;82;1339;730;10.2;59.6;0
"15";2;9;2;1333;64;8;900;174;1136;112;1517;1102;10.8;57.4;0
"16";2;10;2.2;1351;87;9.5;960;129;1079;101;1583;1028;10.5;60.6;1
"17";2;11;1.7;1233;77;6.3;827;112;1218;98;1446;860;10.8;58.4;1
"18";2;12;1.5;1179;43;5;762;95;1328;92;1362;671;10.5;57.9;0
"19";2;13;1.6;1236;61;5.2;774;104;1301;95;1401;664;9.5;66.8;1
"20";2;14;1.9;1286;63;7.3;869;146;1162;112;1537;799;8.3;76.4;1
"21";2;15;2.9;1371;164;11.5;1034;207;983;128;1730;1037;8;81.1;1
"22";2;16;2.2;1310;79;8.8;933;184;1082;126;1647;946;8.3;79.8;1
"23";2;17;2.2;1292;95;8.3;912;193;1103;131;1591;957;9.7;71.2;1
"24";2;18;2.9;1383;150;11.2;1020;243;1008;135;1719;1104;9.8;67.6;1
"25";2;19;4.8;1581;307;20.8;1319;281;799;151;2083;1409;10.3;64.2;1
"26";2;20;6.9;1776;461;27.4;1488;383;702;172;2333;1704;9.7;69.3;1
"27";2;21;6.1;1640;401;24;1404;351;743;165;2191;1654;9.6;67.8;1
"28";2;22;3.9;1313;197;12.8;1076;240;957;136;1707;1285;9.1;64;0
"29";2;23;1.5;965;61;4.7;749;94;1325;85;1333;821;8.2;63.4;0
"30";2;24;1;913;26;2.6;629;47;1565;53;1252;552;8.2;60.8;0
"31";3;1;1.7;1080;55;5.9;805;122;1254;97;1375;816;8.3;58.5;0
"32";3;2;1.9;1044;53;6.4;829;133;1247;110;1378;832;7.7;59.7;0
"33";3;3;1.4;988;40;4.1;718;82;1396;91;1304;692;7.1;61.8;0
"34";3;4;0.8;889;21;1.9;574;55.8038489988315;1680;59.785152926661;1187;512;7;62.3;0
"35";3;5;0.588697255597785;831;10;1.1;506;21;1893;32;1134;384;6.1;65.9;0
"36";3;6;0.6;847;7;1;501;30;1895;44;1155;394;6.3;65;0
"37";3;7;0.8;927;17;1.8;571;56;1685;71;1223;487;6.8;62.9;0
"38";3;8;1.4;1091;33;4.4;730;109;1387;104;1361;748;6.4;65.1;0
"39";3;9;4.4;1587;202;17.9;1236;307;897;141;1900;1400;7.3;63.1;0
